v	states	attempted	pair	c8	c16	completions
7	5	8	2	2	0	0
8	9	22	4	10	0	0
9	16	123	28	80	0	0
10	32	267	50	186	0	0
11	89	772	160	524	0	0
12	169	2300	438	1694	0	0
13	274	4888	805	3810	0	0
14	425	8092	1190	6478	0	0
15	666	13934	2013	11240	16	0
16	1079	26688	3644	21846	120	0
17	1763	49292	6157	41173	200	0
18	2682	84366	9771	71714	200	0
19	3895	139667	15248	119377	1148	0
20	5582	224246	23218	187311	8136	0
21	8224	356686	35106	283241	30116	0
22	12296	572873	53905	428339	78334	0
23	19432	986516	89517	696173	181395	0
24	33640	1908844	166489	1298785	409931	0
25	61755	3931571	329706	2628905	911206	0
26	111600	8101964	644294	5406518	1939553	0
27	200858	16549911	1246914	11004408	4097732	0
28	358266	32282100	2315883	21404559	8203393	0
