SOLUTION 1 blocks=19
0 1 2
0 3 4
0 5 6
1 3 7
1 8 9
2 5 10
2 8 11
3 12 13
4 6 14
4 12 15
5 16 17
6 16 18
7 9 16
7 13 18
8 14 15
9 15 17
10 11 13
10 12 17
11 14 18
SOLUTION 2 blocks=19
0 1 2
0 3 4
0 5 6
1 3 7
1 8 9
2 5 10
2 8 11
3 12 13
4 6 14
4 12 15
5 16 17
6 16 18
7 9 17
7 13 16
8 14 18
9 14 15
10 11 12
10 15 17
11 13 18
SOLUTION 3 blocks=19
0 1 2
0 3 4
0 5 6
1 3 7
1 8 9
2 5 10
2 8 11
3 12 13
4 6 14
4 12 15
5 16 17
6 17 18
7 9 16
7 13 17
8 14 18
9 14 15
10 11 12
10 15 16
11 13 18
SOLUTION 4 blocks=19
0 1 2
0 3 4
0 5 6
1 3 7
1 8 9
2 5 10
2 8 11
3 12 13
4 6 14
4 12 15
5 16 17
6 17 18
7 9 17
7 13 18
8 14 15
9 15 16
10 11 13
10 12 16
11 14 18
SOLUTION 5 blocks=19
0 1 2
0 3 4
0 5 6
1 3 7
1 8 9
2 5 10
2 8 11
3 12 13
4 6 14
4 13 15
5 16 17
6 16 18
7 9 16
7 12 18
8 14 15
9 15 17
10 11 12
10 13 17
11 14 18
SOLUTION 6 blocks=19
0 1 2
0 3 4
0 5 6
1 3 7
1 8 9
2 5 10
2 8 11
3 12 13
4 6 14
4 13 15
5 16 17
6 16 18
7 9 17
7 12 16
8 14 18
9 14 15
10 11 13
10 15 17
11 12 18
SOLUTION 7 blocks=19
0 1 2
0 3 4
0 5 6
1 3 7
1 8 9
2 5 10
2 8 11
3 12 13
4 6 14
4 13 15
5 16 17
6 17 18
7 9 16
7 12 17
8 14 18
9 14 15
10 11 13
10 15 16
11 12 18
SOLUTION 8 blocks=19
0 1 2
0 3 4
0 5 6
1 3 7
1 8 9
2 5 10
2 8 11
3 12 13
4 6 14
4 13 15
5 16 17
6 17 18
7 9 17
7 12 18
8 14 15
9 15 16
10 11 12
10 13 16
11 14 18
SOLUTION 9 blocks=19
0 1 2
0 3 4
0 5 6
1 3 7
1 8 9
2 5 10
2 9 11
3 12 13
4 6 14
4 12 15
5 16 17
6 16 18
7 8 16
7 13 18
8 15 17
9 14 15
10 11 13
10 12 17
11 14 18
SOLUTION 10 blocks=19
0 1 2
0 3 4
0 5 6
1 3 7
1 8 9
2 5 10
2 9 11
3 12 13
4 6 14
4 12 15
5 16 17
6 16 18
7 8 17
7 13 16
8 14 15
9 14 18
10 11 12
10 15 17
11 13 18
SOLUTION 11 blocks=19
0 1 2
0 3 4
0 5 6
1 3 7
1 8 9
2 5 10
2 9 11
3 12 13
4 6 14
4 12 15
5 16 17
6 17 18
7 8 16
7 13 17
8 14 15
9 14 18
10 11 12
10 15 16
11 13 18
SOLUTION 12 blocks=19
0 1 2
0 3 4
0 5 6
1 3 7
1 8 9
2 5 10
2 9 11
3 12 13
4 6 14
4 12 15
5 16 17
6 17 18
7 8 17
7 13 18
8 15 16
9 14 15
10 11 13
10 12 16
11 14 18
SOLUTION 13 blocks=19
0 1 2
0 3 4
0 5 6
1 3 7
1 8 9
2 5 10
2 9 11
3 12 13
4 6 14
4 13 15
5 16 17
6 16 18
7 8 16
7 12 18
8 15 17
9 14 15
10 11 12
10 13 17
11 14 18
SOLUTION 14 blocks=19
0 1 2
0 3 4
0 5 6
1 3 7
1 8 9
2 5 10
2 9 11
3 12 13
4 6 14
4 13 15
5 16 17
6 16 18
7 8 17
7 12 16
8 14 15
9 14 18
10 11 13
10 15 17
11 12 18
SOLUTION 15 blocks=19
0 1 2
0 3 4
0 5 6
1 3 7
1 8 9
2 5 10
2 9 11
3 12 13
4 6 14
4 13 15
5 16 17
6 17 18
7 8 16
7 12 17
8 14 15
9 14 18
10 11 13
10 15 16
11 12 18
SOLUTION 16 blocks=19
0 1 2
0 3 4
0 5 6
1 3 7
1 8 9
2 5 10
2 9 11
3 12 13
4 6 14
4 13 15
5 16 17
6 17 18
7 8 17
7 12 18
8 15 16
9 14 15
10 11 12
10 13 16
11 14 18
SOLUTION 17 blocks=19
0 1 2
0 3 4
0 5 6
1 3 7
1 8 9
2 6 10
2 8 11
3 12 13
4 5 14
4 12 15
5 16 17
6 16 18
7 9 16
7 13 17
8 14 15
9 15 18
10 11 13
10 12 18
11 14 17
SOLUTION 18 blocks=19
0 1 2
0 3 4
0 5 6
1 3 7
1 8 9
2 6 10
2 8 11
3 12 13
4 5 14
4 12 15
5 16 17
6 16 18
7 9 18
7 13 16
8 14 17
9 14 15
10 11 12
10 15 18
11 13 17
SOLUTION 19 blocks=19
0 1 2
0 3 4
0 5 6
1 3 7
1 8 9
2 6 10
2 8 11
3 12 13
4 5 14
4 12 15
5 16 17
6 17 18
7 9 17
7 13 16
8 14 15
9 15 18
10 11 13
10 12 18
11 14 16
SOLUTION 20 blocks=19
0 1 2
0 3 4
0 5 6
1 3 7
1 8 9
2 6 10
2 8 11
3 12 13
4 5 14
4 12 15
5 16 17
6 17 18
7 9 18
7 13 17
8 14 16
9 14 15
10 11 12
10 15 18
11 13 16
SOLUTION 21 blocks=19
0 1 2
0 3 4
0 5 6
1 3 7
1 8 9
2 6 10
2 8 11
3 12 13
4 5 14
4 13 15
5 16 17
6 16 18
7 9 16
7 12 17
8 14 15
9 15 18
10 11 12
10 13 18
11 14 17
SOLUTION 22 blocks=19
0 1 2
0 3 4
