v	states	attempted	pair	c8	c16	completions
7	1	1	0	1	0	0
8	2	6	1	5	0	0
9	5	40	9	29	0	0
10	10	78	13	58	0	0
11	44	418	91	286	0	0
12	95	1377	267	1018	0	0
13	165	3073	517	2394	0	0
14	268	5294	795	4234	0	0
15	448	9664	1422	7789	8	0
16	751	18853	2603	15450	52	0
17	1233	34415	4356	28737	92	0
18	1904	59427	7005	50429	92	0
19	2801	99989	11132	85147	912	0
20	4052	162708	17126	134721	6812	0
21	5971	254881	25440	198617	24856	0
22	8967	404844	38624	291952	65304	0
23	14276	712704	65454	478545	154432	0
24	24666	1413328	123413	912651	352601	0
25	45106	2907902	241277	1849740	771782	0
26	82499	5997887	470746	3838495	1606150	0
27	153469	12667279	943843	8194975	3374995	0
28	282344	25587480	1817786	16772786	6714567	0
29	531193	51088500	3523449	34098891	12934970	0
