v	orbit	states	attempted	sha256	implementations
7	1	1	1	7742c07b7571730cc7a5ced85402d0b508db1ec9a8bec837592aeb9599dc0b4b	2
7	2	0	0	a325c41a1f09cd931debf22aa6d08ba779c5125062336d25a8e14fed30b3f197	2
7	3	0	0	75ef3325acae2ab6fd712a78e67a39ae71785dbc17a934cb9de1c79ed25a731d	2
8	1	1	3	46c761a05182cdac8bee4f3d281ef519e479b7ebca0586c7243bd057da2158bb	2
8	2	1	3	c43b807fc5773cbea7895bf9d8a51f1a3d50693f6473bf3d24b95525f2e6cfc4	2
8	3	0	0	23b3c062e9a7c1690ba000163f7105f397144bb1714b7772441c4e676fe1a132	2
9	1	2	19	e1f4be0ef7238d33c5c8608a9e666e6abaf57bc7914bc27656dc8204b3bf9300	3
9	2	2	21	59cc6b5ac1e9a0f31446cb0cb2aefd6024ac1a9ba9d6df4e3838d89c5bb74e03	3
9	3	1	0	b40b1f6b58b57cf7093cc6bbc8304e45695e32df39d662ec4f187be96c64705d	3
10	1	4	25	fb3641a73038e9a9113b7edf3061cfa705c3b1d54c031ed0d0919ecea834bae7	3
10	2	5	53	4786be5cd0988d83065f4f1ceccbdd0d259489695cfe49333213fea8c58d797b	3
10	3	1	0	68bc1e4022371309912ee92c9fd1feaad52d3c57842a694a6cae01a5f5b460db	3
11	1	6	37	d39abbff7ee8df575733e96f1e624e1f17babfc93dc799da7642a455adf5efaf	3
11	2	12	100	3ee0d065ebe841fb922c7b419a938764b20107a6030707e15366b18df5b6f488	3
11	3	26	281	6ddbc2101c3a6f4c6901d210fe4488a2991ee50f11826d934d60412ff28d2338	3
12	1	8	74	2c332a58a376c5ff3095eb2e68f1cf863670334c9cb8e8a9040b172fca0c1e99	3
12	2	21	242	41f76f8e67f60bd437e61353f32f439e52b3ae6caa74c9e5829dc84164bc020a	3
12	3	66	1061	7cf00b14362d58ce7e1f28ee1c0bc28d7b47e8b73c56c8b897ee632c115656dc	3
13	1	10	137	ed3529961e653653c67bd268f54830ca909a740af873914e5e46d7959f8a9951	3
13	2	28	451	5a3117e6a6e0b5b2dee49ef8d466e93c0d2e0f89bb09725813b4e70188d631c6	3
13	3	127	2485	b6b61e986951f241c7f23ffb406366ddced7d78a217922114e1ca398982e0142	3
14	1	14	226	99421deea5a2f7030addc720c1d54a0bc59757e74cc0d9da9172db405dece6b6	3
14	2	39	846	3311e5d45d14fe317e9760da6070b6858ea534a8b877d83a2e4322ba2219f744	3
14	3	215	4222	827c17e213ee5414d925bd7921816d06431ce1d3678cbe9f499cf9577fd95ccc	3
15	1	21	320	16da871a58f273e5ac1961a786b5d4788f66a5319a61fad0741bd481b0d58e1b	3
15	2	57	1349	e60d5b282705dbf58505b4628bec27063e51720d7f22df2250eda13a3692679a	3
15	3	370	7995	92c7b99364b1121c91bb5fee633c8fb7c64d7df71c726313a92ac995e3409d53	3
16	1	29	488	1392d4e1aff436936bdb6888d8cb718523037c7b6af45c0f06b5e0ea6cb46c8f	3
16	2	85	1937	74d0cdb01bfba3a1ca715dabdaf5fae2caba5029040bd95af8629bf402a9d652	3
16	3	637	16428	84046e35b116910032d29455e9ca58be6933f0863c618a562609966895c8f9a4	3
17	1	37	847	973c910b4bfaaa5343df72fc9a8f7854f0add4f0935dd16631939d1b62b5ddd7	3
17	2	117	3097	54175a99374cb9db7df550570d8f16a9b22b8f65fd5dd8857b89474590cdd9d4	3
17	3	1079	30471	647a9e8e71c1c2144851bb528ddf0c5cd98660fcea5699cb6bfe3b9b8e2cbc3e	3
18	1	47	1365	c9650d02d6d38115a119f2aa8f912fdd72ee1486e82b751d52fb4b731cb30c89	3
18	2	151	4879	ae9ebc0c4ae0d61608d1a6f036002ad63207a89f26da09090c2e04aa7205487e	3
18	3	1706	53183	53635c9670c40172f208b28a72a71035b1a49df73b2bbce046b5d2f23d4d1558	3
19	1	64	1960	07d36f1741ac33e541f29f2d2d709c1db80df788825ad73cdd74e1f45a78c75a	3
19	2	187	6635	c638955b18bf1c78a868b2cebb50c10e599f7506b80875b00fc62e627a286782	3
