v	states	attempted	pair	c8	c16	completions
7	1	1	0	1	0	0
8	2	6	1	5	0	0
9	4	22	3	17	0	0
10	5	41	5	33	0	0
11	8	105	13	86	0	0
12	13	167	20	136	0	0
13	22	287	38	229	0	0
14	37	686	88	563	0	0
15	62	1230	145	1017	8	0
16	102	2087	250	1717	20	0
17	156	4214	497	3535	28	0
18	230	7765	849	6616	72	0
19	339	12090	1253	10324	176	0
20	483	18338	1822	15651	384	0
21	690	28631	2715	24304	924	0
22	1012	43816	3966	36944	1896	0
23	1523	71192	6199	59637	3835	0
24	2407	124818	10456	103167	8790	0
25	3865	217027	17561	174925	20678	0
26	6185	389914	30439	305630	47662	0
27	9427	679229	50567	518477	100760	0
28	14120	1105772	78284	822091	191279	0
29	21493	1762368	120196	1271999	348682	0
