v	orbit	states	candidates	sha256
7	1	1	1	df561c13c8cde77abc26041aa198bac8a346819554c2c4198581cda6b6fbb4a0
7	2	0	0	a325c41a1f09cd931debf22aa6d08ba779c5125062336d25a8e14fed30b3f197
8	1	1	3	acbe971475944fcb4d4c9bd37951539fa100da21a05c9da559bdd2d60d4938f9
8	2	1	3	b6cc0d0d962fe5bbed44639af8fa941afc922b4789a82f407cc7ba2c83538184
9	1	2	10	3ea335a8e6b9a3b37e68cac63137cdc33e81b5ddecf92cd48d351c2a88283f89
9	2	2	12	7af6c4a43b40ce8e11470450215863a578bfca61a17eab30c02e926fc1527147
10	1	2	14	21c281d5c7642994bdf243504d72be47eb4abdf3f2fc5717c5c49796c46bb1c7
10	2	3	27	8c1bbed77f873c0727966a124599ffdb5b85da25bddcd038c1774bce2db8395d
11	1	3	36	a836bb4ca67863e380ca85f585aa79f370072d28a50c13281b00005dd6501bbe
11	2	5	69	c1b3bde0aa73cfef061fb21051d6c2a74510c2a5631dd749d93a73aae9ab275f
12	1	5	47	9bb6814f55093859a2da6ac50c3a475ded1ca36d926c95a2063264b76fe5e676
12	2	8	120	cfb16efc917756becdf8f690b0cef7eb0b075bf035b76e59aad1e2571fccd1b8
13	1	7	74	0f611531687308786412504cc2bfb71162bf205fc641b9726cfe851e28da7b51
13	2	15	213	af29df69defc16fd80bd805c8e823a1260e6d050e3287aa4343221fb8b8f10e6
14	1	9	139	e362e0da4e43eb6940f1c3eee9d4fa1597c887a599cbb721e6b97e18ba19096d
14	2	28	547	ae29b803af3a4fcfb547f95486e3ece74e177894eb253faa760293ff084c4eff
15	1	11	229	548880ba191bc56157cbe503e1536ccc0155c85970b21b0bb4b57d80e77cf780
15	2	51	1001	0eb08f307c1a04dd0da4887cfa0bfb6272c5cce7d72e11eb7c5d78100be03dd2
16	1	15	355	ab9c4c35b40aef9893c5139469b33cc6a72db5436aa763f12f48aefdd9bd533c
16	2	87	1732	e2597aa078f380000755e4ad69947ddf2a75ae60e6f0bb105d0314f5a2e05ddd
17	1	22	536	f87296806adedd0b175b40c4d52e3cf617537d6f93b59f2f21b4bb5e865981e5
17	2	134	3678	1f13c65aea5b8373cc4d275fad740ae4f0f2ffc472cd6750621864951a86be92
18	1	32	843	85939042b6b7ee2d7f85fe07d060255f2fd09283d1b3187372ada2f146f988c2
18	2	198	6922	de86ca219895a166224160c68ad2cd75c34931b30e69d85c20ace38038abe511
19	1	49	1370	e271839799b07a84a1daa615864ca220aaf3965152dc33b7eb9313c5a188ad44
19	2	290	10720	25eac0aa8f0da1322b8ce99d8aae24e0d301c552cccade7504a8eb0909c98c6f
20	1	75	2133	8172cdc40c83507e69648949731272acefa66e0aa753842f5897bc45a9e8b8f5
20	2	408	16205	60ab7313257f3616119c3ac6f6977309926e2a501a00d26493e032e3e71d827a
21	1	106	3381	214a81ab1b8dcb1635267a632c0d202287d84017d6951858867ffccfc9c7841c
21	2	584	25250	01fc64f6417962ac048f866c4c09d2818600c130eec05030d7b6ceebb7d34237
22	1	138	5432	a6d26017bea1987248e470857a2cb72e58f09063bde4148a28abd747fcbf176c
22	2	874	38384	998b8a73088106e462bbeb7569adf04d5315081f88d605d685adc53cbea121f3
23	1	172	7970	ddf0a8653b269a514c0f4cd7b9beb4da70e3b1f5066d34b38349c57f968059a2
23	2	1351	63222	987719aedff0c7000f4d3bb024a3fff19a23c1d14f618cb70943c75b47a074d6
24	1	241	13180	6441b10f3fc0918165aa14716d7be305886c33e8187140466dc5686bda3eb3fc
24	2	2166	111638	12d4279b8bd7e03769b17040f3805d71fd9d8c236f5f7ec7425ee65ed231742c
25	1	351	19041	fb2588ed72244e5b77eff7af8c370a8d6c8c55f6bb49ae657dc7ca71bf52061f
25	2	3514	197986	1f7abe15bfec096cb3794d48043de276ddfb6bfc52103e51e80f7adf36884bd3
26	1	502	27980	3221c0627cc93828af50fabb0ccdff94f50e12c74c8758936b37a09d03b6f261
26	2	5683	361934	0c9aaa6de02b77e5fb9aa8d072536f99592784c343fb29e4a0278a8bda0d6085
27	1	706	46421	0993b15fec99c6a9a5a90fe8b72cea617675e4d9d2bb106677366500642d2cd3
27	2	8721	632808	21f1b5e8300d59c90949d5aaf07f4eaaf1eeed4894e4aef4cb37c28c7dc04377
28	1	983	72874	de055723180f84e998ef9cd13afa0a8adff5638b8e19c65410f7ce5fe78140cb
28	2	13137	1032898	07ec234411274394724d2a98667b56febb7409b4d8b50ed19fbaec92d6dc9d40
29	1	1405	106964	db17d0d30503871404b0027c13b05d31560bc2cea808959db4bb4d43c78117aa
29	2	20088	1655404	74747832e0d49f0a477037c74be2b95d4ef5568c0994d42babec85ec49710a39
